id,subject,category,urgency,confidence,routed_team,needs_human_review,reasoning,error
TCK-001,Site is completely down for our whole team,Technical / Bug,Critical,0.99,Engineering,False,"I chose this category and urgency because the site is completely down, blocking all 40 employees from working and affecting a critical deadline, which indicates a severe technical issue requiring immediate attention.",
TCK-002,Charged twice for July subscription,Billing,Medium,0.9,Finance/Billing Team,False,"I chose the Billing category and Medium urgency because the customer is reporting a duplicate charge and requesting a refund, which is a specific billing issue that needs to be resolved before the next billing cycle.",
TCK-003,How do I export my data to CSV?,General Inquiry,Low,0.9,Support Team,False,"I chose this category and urgency because the user is asking a question about the functionality of the product, specifically about exporting data to CSV, without indicating any urgency or critical issue.",
TCK-004,Possible security issue - unauthorized login attempts,Security,High,0.9,Security Team,False,"I chose the Security category and High urgency because the user is reporting multiple unauthorized login attempts to their account, which poses a potential threat to their account security, even though the password still works.",
TCK-005,Feature request: dark mode,Feature Request,Low,0.9,Product Team,False,"I chose this category and urgency because the user is explicitly requesting a new feature, dark mode, and frames it as a nice-to-have rather than a critical need.",
TCK-006,App crashes every time I upload a file over 10MB,Technical / Bug,High,0.9,Engineering,False,"I chose this category and urgency because the user is reporting a consistent and reproducible crash in the app when uploading large files, which is a significant technical issue affecting their ability to work.",
TCK-007,question,General Inquiry,Low,0.9,Support Team,False,"I chose this category and urgency because the user is asking a general question about integration with Zapier, without indicating any critical issue or deadline.",
TCK-008,Need to update billing address before invoice generates,Billing,Critical,0.9,Finance/Billing Team,False,I chose the Billing category and Critical urgency because the user needs to update their billing address before the monthly invoice generates tomorrow morning to avoid incorrect records.,
TCK-009,"Can't reset password, reset link expired instantly",Account Access,Critical,0.9,Customer Success,False,"I chose this category and urgency because the user is locked out of their account and has a time-sensitive deadline to access the tool, with the primary issue being the expired password reset link.",
TCK-010,"Great support last week, one small thing",General Inquiry,Low,0.9,Support Team,False,"I chose this category and urgency because the primary issue is a thank you note with a minor, non-urgent request to update an invoice template.",
